,Unnamed: 0.1,Unnamed: 0,company_name,sector,financial_risk_profile,circa_rating,business_description,ffo_to_debt_ltm,debt_to_ebitda_ltm,cfo_to_debt_ltm,focf_to_debt_ltm,dcf_to_debt_ltm,ffo_interest_coverage_ltm,ebitda_to_interest_ltm,ebit_margin_ltm,ebitda_margin_ltm,return_on_capital_ltm,ticker
244,244,244,Kronos Worldwide Inc.,COMMODITY CHEMICALS,[5] Aggressive,[4] Moderately high risk,"Kronos Worldwide, Inc. produces and markets titanium dioxide pigments (TiO2) in Europe, North America, the Asia Pacific, and internationally.",-0.08,0.0,-0.31,-0.84,-0.05,-2.17,,-4.68,-1.62,-3.67,KRO
245,245,245,LSB Industries Inc.,COMMODITY CHEMICALS,[5] Aggressive,[4] Moderately high risk,"LSB Industries, Inc. engages in the manufacture, marketing, and sale of chemical products.",0.34,1.35,0.58,0.43,0.7,4.75,4.92,18.9,28.6,6.82,LXU
246,246,246,LyondellBasell Industries N.V.,COMMODITY CHEMICALS,[3] Intermediate,[4] Moderately high risk,"LyondellBasell Industries N.V. operates as a chemical company in the United States, Germany, Mexico, Italy, Poland, France, Japan, China, the Netherlands, and internationally.",0.37,1.78,0.51,0.35,0.54,10.2,11.3,8.61,11.9,8.44,LYB
247,247,247,Mosaic Co. (The),COMMODITY CHEMICALS,[3] Intermediate,[4] Moderately high risk,"The Mosaic Company, through its subsidiaries, produces and markets concentrated phosphate and potash crop nutrients in North America and internationally.",0.6,1.41,0.66,0.28,0.58,12.7,13.7,9.35,17.1,4.94,MOS
248,248,248,Olin Corp.,COMMODITY CHEMICALS,[4] Significant,[4] Moderately high risk,"Olin Corporation manufactures and distributes chemical products in the United States, Europe, Asia Pacific, Latin America, and Canada.",0.32,1.98,0.34,0.26,0.54,5.38,7.94,11.6,19.4,9.19,OLN
249,249,249,The Chemours Co.,COMMODITY CHEMICALS,[4] Significant,[4] Moderately high risk,"The Chemours Company provides performance chemicals in North America, the Asia Pacific, Europe, the Middle East, Africa, and Latin America.",0.06,12.6,0.08,-0.03,0.11,1.25,1.45,-1.55,3.56,-1.16,CC
250,250,250,Trinseo PLC,COMMODITY CHEMICALS,[6] Highly leveraged,[4] Moderately high risk,"Trinseo PLC operates as a specialty material solutions provider in the United States, Europe, the Asia-Pacific, and internationally.",0.06,16.9,0.07,0.04,0.05,0.79,0.66,-3.09,2.86,-2.89,TSE
251,251,251,Tronox Holdings PLC,COMMODITY CHEMICALS,[5] Aggressive,[4] Moderately high risk,"Tronox Holdings plc operates as a vertically integrated manufacturer of TiO2 pigment in North America, South and Central America, Europe, the Middle East, Africa, and the Asia Pacific.",0.06,4.94,0.07,-0.03,0.0,1.17,3.41,6.53,16.2,2.33,TROX
252,252,252,Westlake Corp.,COMMODITY CHEMICALS,[3] Intermediate,[4] Moderately high risk,"Westlake Corporation engages in the manufacture and marketing of performance and essential materials, and housing and infrastructure products in the United States, Canada, Germany, China, Mexico, Brazil, France, Italy, Taiwan, and internationally.",0.41,1.01,1.0,0.56,0.66,14.2,14.0,9.82,17.5,4.76,WLK
253,253,253,ACCO Brands Corp.,CONSUMER DURABLES,[5] Aggressive,[3] Intermediate risk,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products.",0.13,3.83,0.14,0.12,0.15,2.2,4.23,8.71,12.1,5.38,ACCO
254,254,254,Hayward Holdings Inc.,CONSUMER DURABLES,[4] Significant,[3] Intermediate risk,"Hayward Holdings, Inc. designs, manufactures, and markets a portfolio of pool equipment and associated automation systems in North America, Europe, and internationally.",0.16,4.06,0.17,0.14,0.14,2.61,3.13,16.1,21.9,4.09,HAYW
255,255,255,Hillman Solutions Corp.,CONSUMER DURABLES,[5] Aggressive,[3] Intermediate risk,"Hillman Solutions Corp., together with its subsidiaries, provides hardware-related products and related merchandising services in the United States, Canada, Mexico, Latin America, and the Caribbean.",0.28,3.54,0.3,0.22,0.22,3.49,3.29,5.12,13.4,2.29,HLMN
256,256,256,Latham Group Inc.,CONSUMER DURABLES,[5] Aggressive,[3] Intermediate risk,"Latham Group, Inc. designs, manufactures, and markets in-ground residential swimming pools in North America, Australia, and New Zealand.",0.34,4.76,0.36,0.24,0.26,4.14,1.97,0.81,7.52,0.4,SWIM
257,257,257,Lifetime Brands Inc.,CONSUMER DURABLES,[5] Aggressive,[3] Intermediate risk,"Lifetime Brands, Inc. designs, sources, and sells branded kitchenware, tableware, and other products for use in the home in the United States and internationally.",0.2,3.98,0.19,0.18,0.21,2.87,3.6,4.96,7.8,3.74,LCUT
258,258,258,MillerKnoll Inc.,CONSUMER DURABLES,[4] Significant,[3] Intermediate risk,"MillerKnoll, Inc. researches, designs, manufactures, and distributes interior furnishings worldwide.",0.22,2.94,0.23,0.18,0.25,4.13,5.63,6.28,10.3,4.43,MLKN
259,259,259,Steelcase Inc.,CONSUMER DURABLES,[4] Significant,[3] Intermediate risk,Steelcase Inc. provides a portfolio of furniture and architectural products in the United States and internationally.,0.54,1.3,0.56,0.47,0.56,12.7,10.6,4.64,7.33,6.07,SCS
260,260,260,Tempur Sealy International Inc.,CONSUMER DURABLES,[3] Intermediate,[3] Intermediate risk,"Tempur Sealy International, Inc., together with its subsidiaries, designs, manufactures, distributes, and retails bedding products in the United States and internationally.",0.18,3.47,0.18,0.12,0.16,4.39,7.09,11.9,14.7,10.6,TPX
261,261,261,Topgolf Callaway Brands Corp.,CONSUMER DURABLES,[5] Aggressive,[3] Intermediate risk,"Topgolf Callaway Brands Corp. designs, manufactures, and sells golf equipment, golf and lifestyle apparel, and other accessories in the United States, Europe, Asia, and Internationally.",0.08,6.04,0.09,-0.03,-0.02,1.74,3.16,5.55,11.1,1.87,MODG
262,262,262,Traeger Inc.,CONSUMER DURABLES,[6] Highly leveraged,[3] Intermediate risk,"Traeger, Inc., together with its subsidiaries, designs, sources, sells, and supports wood pellet fueled barbecue grills for retailers, distributors, and direct to consumers in the United States.",0.13,0.0,0.12,0.08,0.08,1.79,0.04,-9.78,0.23,-4.5,COOK
263,263,263,Vista Outdoor Inc.,CONSUMER DURABLES,[3] Intermediate,[3] Intermediate risk,"Vista Outdoor Inc. designs, manufactures, and markets outdoor recreation and shooting sports products.",0.45,2.08,0.39,0.36,0.37,6.14,6.21,10.4,14.0,7.6,VSTO
264,264,264,Whirlpool Corp.,CONSUMER DURABLES,[3] Intermediate,[3] Intermediate risk,"Whirlpool Corporation manufactures and markets home appliances and related products and services in the North America, Europe, the Middle East, Africa, Latin America, and Asia.",0.11,3.68,0.14,0.06,0.12,2.61,4.97,5.91,7.77,6.77,WHR
265,265,265,AptarGroup Inc.,CONTAINERS & PACKAGING,[3] Intermediate,[3] Intermediate risk,"AptarGroup, Inc. designs and manufactures a range of drug delivery, consumer product dispensing, and active material science solutions and services for the pharmaceutical, beauty, personal care, home care, and food and beverage markets.",0.47,1.35,0.58,0.26,0.42,14.2,18.3,12.9,20.1,8.22,ATR
266,266,266,Avery Dennison Corp.,CONTAINERS & PACKAGING,[3] Intermediate,[3] Intermediate risk,"Avery Dennison Corporation operates as a materials science and digital identification solutions company in the United States, Europe, the Middle East, North Africa, Asia, Latin, America, and internationally.",0.24,2.44,0.26,0.17,0.3,6.94,11.1,11.6,14.9,11.2,AVY
267,267,267,Ball Corp.,CONTAINERS & PACKAGING,[4] Significant,[3] Intermediate risk,"Ball Corporation supplies aluminum packaging products for the beverage, personal care, and household products industries in the United States, Brazil, and internationally.",0.21,3.71,0.22,0.1,0.13,4.06,4.89,10.2,15.1,6.92,BALL
268,268,268,Berry Global Group Inc.,CONTAINERS & PACKAGING,[5] Aggressive,[3] Intermediate risk,"Berry Global Group, Inc. manufactures and supplies non-woven, flexible, and rigid products in consumer and industrial end markets in the United States, Canada, Europe, and internationally.",0.17,4.64,0.19,0.12,0.18,5.37,6.39,9.14,15.8,5.43,BERY
269,269,269,Crown Holdings Inc.,CONTAINERS & PACKAGING,[5] Aggressive,[3] Intermediate risk,"Crown Holdings, Inc., together with its subsidiaries, supplies rigid packaging products in Pennsylvania and internationally.",0.19,3.36,0.24,0.11,0.13,3.33,4.2,11.1,15.3,8.41,CCK
270,270,270,International Paper Co.,CONTAINERS & PACKAGING,[3] Intermediate,[3] Intermediate risk,"International Paper Company produces and sells renewable fiber-based packaging and pulp products in North America, Latin America, Europe, and North Africa.",0.3,2.03,0.37,0.14,0.31,4.39,5.83,6.0,11.4,4.9,IP
271,271,271,O-I Glass Inc.,CONTAINERS & PACKAGING,[5] Aggressive,[3] Intermediate risk,"O-I Glass, Inc., through its subsidiaries, engages in the manufacture and sale of glass containers to food and beverage manufacturers primarily in the Americas, Europe, and internationally.",0.16,3.21,0.19,0.03,0.04,2.7,4.38,11.9,17.8,7.9,OI
272,272,272,Pactiv Evergreen Inc,CONTAINERS & PACKAGING,[6] Highly leveraged,[3] Intermediate risk,"Pactiv Evergreen Inc. manufactures and distributes fresh foodservice and food merchandising products, and fresh beverage cartons in North America.",0.16,2.98,0.16,0.09,0.11,2.38,4.66,9.07,19.6,5.79,PTVE
273,273,273,Sealed Air Corp.,CONTAINERS & PACKAGING,[4] Significant,[3] Intermediate risk,"Sealed Air Corporation provides packaging solutions in the Americas, Europe, the Middle East, Africa, Asia, Australia, and NewZealand.",0.11,4.03,0.12,0.06,0.11,1.96,4.19,14.9,19.2,10.9,SEE
274,274,274,Sonoco Products Co.,CONTAINERS & PACKAGING,[3] Intermediate,[3] Intermediate risk,"Sonoco Products Company, together with its subsidiaries, designs, develops, manufactures, and sells various engineered and sustainable packaging products in North and South America, Europe, Australia, and Asia.",0.26,2.87,0.28,0.19,0.25,6.46,8.16,10.0,15.0,7.46,SON
275,275,275,TriMas Corp.,CONTAINERS & PACKAGING,[3] Intermediate,[3] Intermediate risk,"TriMas Corporation engages in the design, development, manufacture, and sale of products for consumer products, aerospace, and industrial markets worldwide.",0.18,2.82,0.25,0.1,0.19,5.49,9.71,8.53,14.9,4.29,TRS
276,276,276,WestRock Co.,CONTAINERS & PACKAGING,[4] Significant,[3] Intermediate risk,"WestRock Company, together with its subsidiaries, provides fiber-based paper and packaging solutions in North America, South America, Europe, Asia, and Australia.",0.2,2.87,0.21,0.08,0.11,3.31,5.58,5.98,13.5,3.62,WRK
277,277,277,AECOM,ENGINEERING & CONSTRUCTION,[4] Significant,[4] Moderately high risk,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide.",0.24,1.39,0.45,0.37,0.68,4.12,7.28,5.56,6.7,9.45,ACM
278,278,278,APi Group Corp.,ENGINEERING & CONSTRUCTION,[5] Aggressive,[4] Moderately high risk,"APi Group Corporation provides safety, specialty, and industrial services in North America, Europe, Australia, the Asian-Pacific, and other countries.",0.14,2.58,0.17,0.13,0.16,2.72,6.2,6.3,10.7,4.58,APG
279,279,279,Dycom Industries Inc.,ENGINEERING & CONSTRUCTION,[4] Significant,[4] Moderately high risk,"Dycom Industries, Inc. provides specialty contracting services to the telecommunications infrastructure and utility industries in the United States.",0.17,1.85,0.28,-0.07,0.01,3.66,11.1,7.81,11.5,10.5,DY
280,280,280,EMCOR Group Inc.,ENGINEERING & CONSTRUCTION,[2] Modest,[4] Moderately high risk,"EMCOR Group, Inc. provides electrical and mechanical construction, and facilities services primarily in the United States and the United Kingdom.",1.69,0.0,9.35,8.5,10.35,63.5,101.6,6.34,7.29,18.2,EME
281,281,281,Fluor Corp.,ENGINEERING & CONSTRUCTION,[3] Intermediate (was [4]),[4] Moderately high risk,"Fluor Corporation provides engineering, procurement, and construction (EPC); fabrication and modularization; operation and maintenance; asset integrity; and project management services worldwide.",0.16,0.0,-0.16,-0.08,-0.08,3.53,8.93,1.68,2.16,4.89,FLR
282,282,282,Great Lakes Dredge & Dock Corp.,ENGINEERING & CONSTRUCTION,[6] Highly leveraged,[4] Moderately high risk,Great Lakes Dredge & Dock Corporation provides dredging services in the United States.,0.09,3.04,0.1,-0.21,-0.21,3.91,13.1,3.11,10.3,1.37,GLDD
283,283,283,MasTec Inc.,ENGINEERING & CONSTRUCTION,[3] Intermediate,[4] Moderately high risk,"MasTec, Inc., an infrastructure construction company, provides engineering, building, installation, maintenance, and upgrade services for communications, energy, utility, and other infrastructure primarily in the United States and Canada.",0.12,2.27,0.14,0.07,0.07,1.92,6.66,1.69,6.93,2.18,MTZ
284,284,284,Quanta Services Inc.,ENGINEERING & CONSTRUCTION,[3] Intermediate,[4] Moderately high risk,"Quanta Services, Inc. provides infrastructure solutions for the electric and gas utility, renewable energy, communications, and pipeline and energy industries in the United States, Canada, Australia, and internationally.",0.35,1.09,0.5,0.36,0.41,8.43,15.6,5.23,8.17,6.79,PWR
285,285,285,Tutor Perini Corp.,ENGINEERING & CONSTRUCTION,[6] Highly leveraged,[4] Moderately high risk,"Tutor Perini Corporation, a construction company, provides diversified general contracting, construction management, and design-build services to private customers and public agencies worldwide.",0.14,0.0,0.18,0.1,0.1,1.63,,-4.98,-3.86,-4.85,TPC
286,286,286,Casella Waste Systems Inc.,ENVIRONMENTAL SERVICES,[3] Intermediate,[2] Low risk,"Casella Waste Systems, Inc., together with its subsidiaries, operates as a vertically integrated solid waste services company in the United States.",0.21,3.08,0.26,0.09,0.09,4.9,6.16,8.0,21.5,3.82,CWST
287,287,287,Clean Harbors Inc.,ENVIRONMENTAL SERVICES,[4] Significant,[2] Low risk,"Clean Harbors, Inc. provides environmental and industrial services in the United States and internationally.",0.28,1.7,0.35,0.15,0.18,6.1,10.1,11.3,18.1,8.07,CLH
288,288,288,Republic Services Inc.,ENVIRONMENTAL SERVICES,[4] Significant,[2] Low risk,"Republic Services, Inc., together with its subsidiaries, offers environmental services in the United States.",0.29,2.74,0.29,0.16,0.23,7.18,8.98,18.6,28.7,7.71,RSG
289,289,289,Stericycle Inc.,ENVIRONMENTAL SERVICES,[4] Significant,[2] Low risk,"Stericycle, Inc., together with its subsidiaries, provides regulated and compliance solutions in the United States, Europe, and internationally.",0.2,2.99,0.19,0.12,0.12,4.5,7.5,7.73,15.9,2.99,SRCL
290,290,290,Waste Connections Inc.,ENVIRONMENTAL SERVICES,[3] Intermediate,[2] Low risk,"Waste Connections, Inc. provides non-hazardous waste collection, transfer, disposal, and resource recovery services in the United States and Canada.",0.3,2.9,0.31,0.17,0.22,7.74,8.71,16.7,29.2,5.79,WCN
291,291,291,Waste Management Inc.,ENVIRONMENTAL SERVICES,[4] Significant,[2] Low risk,"Waste Management, Inc., through its subsidiaries, engages in the provision of environmental solutions to residential, commercial, industrial, and municipal customers in the United States and Canada.",0.28,2.68,0.29,0.11,0.26,9.44,12.2,18.7,28.9,10.4,WM
292,292,292,Boise Cascade Co.,FOREST & PAPER PRODUCTS,[4] Significant,[3] Intermediate risk,Boise Cascade Company engages in manufacture of wood products and distribution of building materials in the United States and Canada.,1.27,0.0,-1.68,-1.16,-1.26,25.2,29.0,9.29,11.2,14.9,BCC
293,293,293,Clearwater Paper Corp.,FOREST & PAPER PRODUCTS,[4] Significant,[3] Intermediate risk,"Clearwater Paper Corporation manufactures and supplies bleached paperboards, and consumer and parent roll tissues in the United States and internationally.",0.36,1.61,0.39,0.24,0.29,5.89,9.3,8.7,13.4,9.51,CLW
294,294,294,Glatfelter Corp.,FOREST & PAPER PRODUCTS,[6] Highly leveraged,[4] Moderately high risk,"Glatfelter Corporation, together with its subsidiaries, manufactures and sells engineered materials worldwide.",,10.1,,,,,1.29,1.44,6.0,1.06,GLT
295,295,295,Louisiana-Pacific Corp.,FOREST & PAPER PRODUCTS,[3] Intermediate,[4] Moderately high risk,"Louisiana-Pacific Corporation, together with its subsidiaries, provides building solutions primarily for use in new home construction, repair and remodeling, and outdoor structure markets.",0.84,0.33,2.03,-0.41,0.03,22.6,33.9,13.3,18.0,11.4,LPX
296,296,296,Mercer International Inc.,FOREST & PAPER PRODUCTS,[6] Highly leveraged,[4] Moderately high risk,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) and northern bleached hardwood kraft (NBHK) pulp worldwide.",-0.04,97.4,-0.05,-0.16,-0.14,-0.78,0.15,-8.35,0.3,-4.65,MERC
297,297,297,PotlatchDeltic Corp.,FOREST & PAPER PRODUCTS,[3] Intermediate,[4] Moderately high risk,"PotlatchDeltic Corporation (Nasdaq: PCH) is a leading Real Estate Investment Trust (REIT) that owns nearly 2.2 million acres of timberlands in Alabama, Arkansas, Georgia, Idaho, Louisiana, Mississippi and South Carolina.",0.15,4.79,0.19,0.19,0.4,6.57,7.11,4.67,16.5,0.91,PCH
298,298,298,Rayonier Advanced Materials Inc.,FOREST & PAPER PRODUCTS,[6] Highly leveraged,[4] Moderately high risk,"Rayonier Advanced Materials Inc. manufactures and sells cellulose specialty products in the United States, China, Canada, Japan, Europe, Latin America, other Asian countries, and internationally.",0.17,4.24,0.2,0.03,0.04,1.91,2.54,1.44,9.72,0.96,RYAM
299,299,299,Rayonier Inc.,FOREST & PAPER PRODUCTS,[4] Significant,[4] Moderately high risk,Rayonier is a leading timberland real estate investment trust with assets located in some of the most productive softwood timber growing regions in the United States and New Zealand.,0.2,3.23,0.24,0.16,0.3,6.17,8.04,20.8,35.8,3.92,RYN
300,300,300,Sylvamo Corp.,FOREST & PAPER PRODUCTS,[4] Significant,[4] Moderately high risk,"Sylvamo Corporation produces and markets uncoated freesheet for cutsize, offset paper, and pulp in Latin America, Europe, and North America.",0.49,1.26,0.63,0.37,0.52,8.4,10.6,11.6,15.5,14.7,SLVM
301,301,301,Weyerhaeuser Co.,FOREST & PAPER PRODUCTS,[4] Significant,[4] Moderately high risk,"Weyerhaeuser Company, one of the world's largest private owners of timberlands, began operations in 1900. We own or control approximately 11 million acres of timberlands in the U.S. and manage additional timberlands under long-term licenses in Canada.",0.28,2.54,0.36,0.28,0.45,5.12,5.67,13.9,20.4,4.25,WY
302,302,302,Abbott Laboratories,HEALTHCARE EQUIPMENT,[1] Minimal,[2] Low risk,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide.",0.46,0.79,0.84,0.59,1.15,11.4,17.0,18.0,26.1,8.24,ABT
303,303,303,Agilent Technologies Inc.,HEALTHCARE EQUIPMENT,[1] Minimal,[2] Low risk,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide.",0.61,0.75,1.35,1.13,1.81,18.7,18.4,20.6,24.5,10.4,A
304,304,304,Artivion Inc.,HEALTHCARE EQUIPMENT,[6] Highly leveraged,[2] Low risk,"Artivion, Inc. manufactures, processes, and distributes medical devices and implantable human tissues worldwide.",0.05,6.62,0.06,0.04,0.04,0.74,1.78,4.26,10.8,1.47,AORT
305,305,305,Bausch + Lomb Corp.,HEALTHCARE EQUIPMENT,[4] Significant (was [3]),[2] Low risk,Bausch + Lomb Corporation operates as an eye health company worldwide.,-0.0,6.82,-0.0,-0.05,-0.04,-0.06,2.24,4.92,14.1,1.2,BLCO
306,306,306,Baxter International Inc.,HEALTHCARE EQUIPMENT,[4] Significant,[2] Low risk,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide.",0.12,3.77,0.15,0.09,0.15,3.32,5.79,10.2,18.7,4.12,BAX
307,307,307,Bio-Rad Laboratories Inc.,HEALTHCARE EQUIPMENT,[1] Minimal,[2] Low risk,"Bio-Rad Laboratories, Inc. manufactures and distributes life science research and clinical diagnostic products in the United States, Europe, Asia, Canada, and Latin America.",0.27,0.0,-1.86,-1.08,-3.28,7.58,11.6,13.7,19.2,2.16,BIO
308,308,308,Boston Scientific Corp.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Boston Scientific Corporation develops, manufactures, and markets medical devices for use in various interventional medical specialties worldwide.",0.26,2.35,0.29,0.21,0.21,9.45,14.0,17.0,25.4,5.39,BSX
309,309,309,Danaher Corp.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide.",0.33,1.75,0.52,0.42,0.48,22.7,27.3,22.5,31.6,4.68,DHR
310,310,310,Dentsply Sirona Inc.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies for professional dental market worldwide.,0.17,2.61,0.2,0.12,0.27,4.66,9.22,7.37,15.9,3.2,XRAY
311,311,311,Edwards Lifesciences Corp.,HEALTHCARE EQUIPMENT,[1] Minimal,[2] Low risk,"Edwards Lifesciences Corporation provides products and technologies for structural heart disease and critical care monitoring in the United States, Europe, Japan, and internationally.",1.29,0.0,-0.94,-0.68,-1.6,50.9,108.2,28.8,31.2,15.5,EW
312,312,312,Embecta Corp.,HEALTHCARE EQUIPMENT,[5] Aggressive,[2] Low risk,"Embecta Corp., a medical device company, focuses on the provision of various solutions to enhance the health and wellbeing of people living with diabetes.",-0.0,5.87,-0.0,-0.02,0.01,-0.05,2.12,17.6,20.6,14.7,EMBC
313,313,313,GE Healthcare Technologies Inc.,HEALTHCARE EQUIPMENT,[4] Significant,[2] Low risk,"GE HealthCare Technologies Inc. engages in the development, manufacture, and marketing of products, services, and complementary digital solutions used in the diagnosis, treatment, and monitoring of patients in the United States, Canada, and internationally.",0.21,1.95,0.29,0.23,0.24,3.88,6.99,15.1,18.2,10.4,GEHC
314,314,314,Hologic Inc.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Hologic, Inc. develops, manufactures, and supplies diagnostics products, medical imaging systems, and surgical products for women's health through early detection and treatment.",0.4,0.5,6.15,5.19,11.65,9.34,11.7,23.2,31.4,7.59,HOLX
315,315,315,ICU Medical Inc.,HEALTHCARE EQUIPMENT,[5] Aggressive,[2] Low risk,"ICU Medical, Inc., together with its subsidiaries, develops, manufactures, and sells medical devices used in infusion therapy, vascular access, and vital care applications worldwide.",0.04,4.73,0.05,-0.0,0.0,0.76,3.28,2.75,12.9,1.02,ICUI
316,316,316,Illumina Inc.,HEALTHCARE EQUIPMENT,[1] Minimal,[2] Low risk,"Illumina, Inc. offers sequencing- and array-based solutions for genetic and genomic analysis in the United States, Singapore, the United Kingdom, and internationally.",0.21,2.62,0.4,0.23,0.27,6.21,5.99,-2.09,7.5,-0.65,ILMN
317,317,317,Insulet Corp.,HEALTHCARE EQUIPMENT,[6] Highly leveraged,[2] Low risk,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes.",0.1,2.35,0.2,0.09,0.11,4.03,8.77,13.9,18.2,7.21,PODD
318,318,318,Integer Holdings Corp.,HEALTHCARE EQUIPMENT,[4] Significant,[2] Low risk,"Integer Holdings Corporation operates as a medical device outsource manufacturer in the United States, Puerto Rico, Costa Rica, and internationally.",0.17,3.5,0.18,0.06,0.06,3.38,5.51,11.2,17.4,4.47,ITGR
319,319,319,Medtronic PLC,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients worldwide.",0.26,1.84,0.37,0.28,0.53,9.94,14.1,20.1,27.5,5.16,MDT
320,320,320,Neogen Corp.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Neogen Corporation, together with its subsidiaries, engages in the development, manufacture, and marketing of various products and services dedicated to food and animal safety worldwide.",0.12,3.29,0.17,0.03,0.03,1.57,2.85,9.53,21.9,1.35,NEOG
321,321,321,Revvity Inc.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Revvity, Inc. provides products, services, and solutions to the diagnostics, life sciences, and applied services markets worldwide.",0.07,2.89,0.04,0.0,0.18,2.83,8.52,13.4,29.1,1.94,RVTY
322,322,322,STERIS plc,HEALTHCARE EQUIPMENT,[3] Intermediate,[3] Intermediate risk,STERIS plc provides infection prevention products and services worldwide.,0.27,2.22,0.3,0.19,0.31,6.73,10.8,15.7,26.3,5.52,STE
323,323,323,Stryker Corp.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,Stryker Corporation operates as a medical technology company.,0.28,1.93,0.36,0.3,0.42,10.4,15.2,20.6,25.6,8.47,SYK
324,324,324,Teleflex Inc.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Teleflex Incorporated designs, develops, manufactures, and supplies single-use medical devices for common diagnostic and therapeutic procedures in critical care and surgical applications worldwide.",0.27,2.18,0.3,0.25,0.29,6.01,9.11,16.9,25.0,5.13,TFX
325,325,325,Thermo Fisher Scientific Inc.,HEALTHCARE EQUIPMENT,[3] Intermediate,[2] Low risk,"Thermo Fisher Scientific Inc. provides life sciences solutions, analytical instruments, specialty diagnostics, and laboratory products and biopharma services in the North America, Europe, Asia-Pacific, and internationally.",0.23,2.54,0.29,0.24,0.36,6.11,8.2,17.3,25.2,5.64,TMO
326,326,326,Varex Imaging Corp.,HEALTHCARE EQUIPMENT,[4] Significant,[2] Low risk,"Varex Imaging Corporation designs, manufactures, and sells X-ray imaging components.",0.26,2.57,0.39,0.31,0.31,4.21,3.71,7.78,11.6,4.18,VREX
327,327,327,Zimmer Biomet Holdings Inc.,HEALTHCARE EQUIPMENT,[4] Significant,[2] Low risk,"Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates as a medical technology company worldwide.",0.26,2.31,0.27,0.17,0.32,7.86,12.5,20.2,33.1,5.08,ZBH
328,328,328,Acadia Healthcare Co. Inc.,HEALTHCARE SERVICES,[4] Significant,[3] Intermediate risk,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics.",0.3,2.16,0.32,0.06,0.1,5.67,8.18,17.1,21.5,6.99,ACHC
329,329,329,AdaptHealth Corp.,HEALTHCARE SERVICES,[5] Aggressive,[3] Intermediate risk,"AdaptHealth Corp., together with its subsidiaries, provides home medical equipment (HME), medical supplies, and home and related services in the United States.",0.21,3.25,0.22,0.06,0.08,3.69,5.24,7.26,19.2,3.52,AHCO
330,330,330,Cano Health Inc.,HEALTHCARE SERVICES,[6] Highly leveraged,[3] Intermediate risk,"Cano Health, Inc. provides primary care medical services to its members in the United States and Puerto Rico. It owns and operates medical centers enabled by CanoPanorama, a proprietary population health management technology-powered platform that provides the healthcare providers at its medical centers with a 360-degree view of their members with actionable insights to improve care decisions and member engagement.",-0.12,0.0,-0.13,-0.15,-0.15,-1.48,,-12.5,-9.3,-16.9,CANOQ
331,331,331,Community Health Systems Inc.,HEALTHCARE SERVICES,[6] Highly leveraged,[3] Intermediate risk,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States.",0.02,7.52,0.02,-0.02,-0.02,0.25,1.94,6.97,10.4,4.73,CYH
332,332,332,DaVita Inc.,HEALTHCARE SERVICES,[5] Aggressive,[3] Intermediate risk,DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure in the United States.,0.18,3.53,0.19,0.14,0.17,4.1,6.05,13.2,19.3,7.17,DVA
333,333,333,Encompass Health Corp.,HEALTHCARE SERVICES,[4] Significant,[3] Intermediate risk,Encompass Health Corporation provides post-acute healthcare services in the United States.,0.3,2.7,0.3,0.09,0.12,6.04,7.4,15.2,20.9,9.07,EHC
334,334,334,HCA Healthcare Inc.,HEALTHCARE SERVICES,[4] Significant,[3] Intermediate risk,"HCA Healthcare, Inc., through its subsidiaries, owns and operates hospitals and related healthcare entities in the United States.",0.22,2.98,0.23,0.11,0.22,4.87,7.07,14.8,19.6,14.5,HCA
